Read only 28 bytes from /etc/pals/server_key.pub, expected 40
Couldn't read server key, disabling ZeroMQ CURVE security
# nThread 1 nGpus 1 minBytes 4 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1985156 on x3200c0s31b1n0 device  0 [0x07] NVIDIA A100-SXM4-40GB
#  Rank  1 Group  0 Pid 1985157 on x3200c0s31b1n0 device  1 [0x46] NVIDIA A100-SXM4-40GB
#  Rank  2 Group  0 Pid 1985158 on x3200c0s31b1n0 device  2 [0x85] NVIDIA A100-SXM4-40GB
#  Rank  3 Group  0 Pid 1985159 on x3200c0s31b1n0 device  3 [0xc7] NVIDIA A100-SXM4-40GB
#  Rank  4 Group  0 Pid 1672589 on x3200c0s37b1n0 device  0 [0x07] NVIDIA A100-SXM4-40GB
#  Rank  5 Group  0 Pid 1672590 on x3200c0s37b1n0 device  1 [0x46] NVIDIA A100-SXM4-40GB
#  Rank  6 Group  0 Pid 1672591 on x3200c0s37b1n0 device  2 [0x85] NVIDIA A100-SXM4-40GB
#  Rank  7 Group  0 Pid 1672592 on x3200c0s37b1n0 device  3 [0xc7] NVIDIA A100-SXM4-40GB
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw #wrong     time   algbw   busbw #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           0             0     float    none      -1     0.21    0.00    0.00      0     0.19    0.00    0.00      0
           0             0     float    none      -1     0.19    0.00    0.00      0     0.19    0.00    0.00      0
           0             0     float    none      -1     0.19    0.00    0.00      0     0.19    0.00    0.00      0
           0             0     float    none      -1     0.19    0.00    0.00      0     0.19    0.00    0.00      0
           0             0     float    none      -1     0.18    0.00    0.00      0     0.19    0.00    0.00      0
         128             4     float    none      -1    59.68    0.00    0.00      0    52.05    0.00    0.00      0
         256             8     float    none      -1    52.93    0.00    0.00      0    53.38    0.00    0.00      0
         512            16     float    none      -1    51.89    0.01    0.01      0    53.77    0.01    0.01      0
        1024            32     float    none      -1    54.95    0.02    0.02      0    52.63    0.02    0.02      0
        2048            64     float    none      -1    53.48    0.04    0.03      0    52.66    0.04    0.03      0
        4096           128     float    none      -1    54.66    0.07    0.07      0    54.32    0.08    0.07      0
        8192           256     float    none      -1    55.38    0.15    0.13      0    55.88    0.15    0.13      0
       16384           512     float    none      -1    64.85    0.25    0.22      0    57.29    0.29    0.25      0
       32768          1024     float    none      -1    66.69    0.49    0.43      0    69.86    0.47    0.41      0
       65536          2048     float    none      -1    140.5    0.47    0.41      0    145.9    0.45    0.39      0
      131072          4096     float    none      -1    244.6    0.54    0.47      0    242.3    0.54    0.47      0
      262144          8192     float    none      -1    312.4    0.84    0.73      0    341.9    0.77    0.67      0
      524288         16384     float    none      -1    473.9    1.11    0.97      0    482.0    1.09    0.95      0
     1048576         32768     float    none      -1    797.5    1.31    1.15      0    808.1    1.30    1.14      0
     2097152         65536     float    none      -1    826.5    2.54    2.22      0    808.6    2.59    2.27      0
     4194304        131072     float    none      -1   1405.7    2.98    2.61      0   1414.2    2.97    2.60      0
     8388608        262144     float    none      -1   2620.3    3.20    2.80      0   2623.9    3.20    2.80      0
    16777216        524288     float    none      -1   4991.4    3.36    2.94      0   4898.2    3.43    3.00      0
    33554432       1048576     float    none      -1   9323.8    3.60    3.15      0   9380.6    3.58    3.13      0
    67108864       2097152     float    none      -1    17852    3.76    3.29      0    17655    3.80    3.33      0
   134217728       4194304     float    none      -1    34851    3.85    3.37      0    35250    3.81    3.33      0
   268435456       8388608     float    none      -1    70490    3.81    3.33      0    69308    3.87    3.39      0
   536870912      16777216     float    none      -1   137891    3.89    3.41      0   146277    3.67    3.21      0
  1073741824      33554432     float    none      -1   306977    3.50    3.06      0   278680    3.85    3.37      0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.20317 
#

